date,hospitalizedCurrently,death,recovered,totalTestResults
20200513,44514,78343,243430,9974831
20200512,45199,76617,230287,9637930
20200511,44191,75107,232733,9348458
20200510,44943,74270,216169,8960162
20200509,46637,73291,212534,8686500
20200508,47718,71762,198993,8390006
20200507,49130,70002,195036,8090861
20200506,50227,67256,189910,7786793
20200505,50906,65307,189791,7544328
20200504,50062,62780,187180,7285374
20200503,50312,61868,180152,7053366
20200502,51734,60710,175382,6805241
20200501,52370,59059,164015,6552602
20200430,53793,57320,154991,6255769
20200429,54930,55182,147484,6026170
20200428,54940,52482,139342,5796273
20200427,54971,50354,121609,5593495
20200426,55050,49164,116801,5404137
20200425,56344,48069,112783,5197717
20200424,56075,46251,101517,4920802
20200423,57889,44409,97121,4688701
20200422,58130,42595,93157,4496319
20200421,58579,40554,73002,4181428
20200420,55677,37999,69636,4033318
20200419,55570,36300,67339,3885586
20200418,56591,34641,62961,3725196
20200417,57808,32854,53644,3582859
20200416,58625,30789,48945,3424690
20200415,59260,28628,43522,3262564
20200414,58719,26066,39347,3125858
20200413,55295,23754,35442,2975315
20200412,54749,22237,34151,2842322
20200411,54757,20686,31631,2701760
20200410,51745,18751,29054,2562049
20200409,49826,16659,24869,2404262
20200408,44063,14737,21141,2238429
20200407,42294,12841,18477,2093996
20200406,34663,10937,16584,1941251
20200405,30905,9714,14542,1790521
20200404,29095,8487,12840,1670862
20200403,24564,7112,10861,1442065
20200402,21833,5924,8586,1309833
20200401,19982,4823,7084,1191810
20200331,17856,3877,5666,1084228
20200330,15574,3060,4560,973134
20200329,13833,2527,4061,855684
20200328,12179,2038,3148,766904
20200327,10789,1604,2422,662538
20200326,7617,1231,97,559468
20200325,4971,953,147,459004
20200324,3828,725,,375517
20200323,2770,521,,306904
20200322,2155,437,,249769
20200321,1436,306,,205167
20200320,1042,253,,160413
20200319,617,189,,124258
20200318,416,145,,96858
20200317,325,120,,72185
20200316,,98,,56611
20200315,,77,,38948
20200314,,63,,31273
20200313,,55,,26773
20200312,,51,,17717
20200311,,43,,12580
20200310,,37,,8832
20200309,,35,,6420
20200308,,31,,4624
20200307,,27,,3753
20200306,,26,,2983
20200305,,20,,2188
20200304,,16,,1597
20200303,,14,,527
20200302,,11,,282
20200301,,8,,121
20200229,,5,,41
20200228,,4,,9
20200227,,2,,2
20200226,,2,,2
20200225,,,,2
20200224,,,,2
20200223,,,,2
20200222,,,,2
20200221,,,,2
20200220,,,,2
20200219,,,,2
20200218,,,,2
20200217,,,,2
20200216,,,,2
20200215,,,,2
20200214,,,,2
20200213,,,,2
20200212,,,,2
20200211,,,,2
20200210,,,,2
20200209,,,,2
20200208,,,,2
20200207,,,,2
20200206,,,,1
20200205,,,,1
20200204,,,,1
20200203,,,,1
20200202,,,,1
20200201,,,,1
20200131,,,,1
20200130,,,,1
20200129,,,,1
20200128,,,,1
20200127,,,,1
20200126,,,,1
20200125,,,,1
20200124,,,,1
20200123,,,,1
20200122,,,,1
